landmark_x,landmark_y,screen_x,screen_y
0.46906211972236633,0.6419045925140381,1741,203
0.48236319422721863,0.688595712184906,1741,199
0.4877425730228424,0.715813934803009,1741,199
0.49778881669044495,0.7334234714508057,1741,199
0.4925268590450287,0.7345320582389832,1741,199
0.49335160851478577,0.6992309093475342,1741,199
0.4820402264595032,0.6403861045837402,1741,199
0.4810650944709778,0.6354753375053406,1741,199
0.4795575439929962,0.6397525668144226,1741,199
0.47732049226760864,0.642188310623169,1608,25
